variant,trainable_parameters,analytical_macs_per_example,analytical_flops_per_example,decoder_latency_ms,decoder_latency_std_ms,decoder_examples_per_second,decoder_peak_memory_mb,full_pipeline_latency_ms,full_pipeline_latency_std_ms,full_pipeline_examples_per_second,full_pipeline_peak_memory_mb,parameters_vs_s4_percent,macs_vs_s4_percent,decoder_latency_vs_s4_percent,full_pipeline_latency_vs_s4_percent
A4,2639104,501694464,1003388928,6.714142783312127,0.028777141725884404,2383.0294523625103,806.22314453125,209.3470365041867,21.863920271089356,76.4281179575237,940.8798828125,-44.36289060391818,-0.41627369995772545,-10.057051766116542,-0.408089635532749
S4,4743424,503791616,1007583232,7.464890705887228,0.2570788700029524,2143.3669467366094,817.2578125,210.20486075431108,18.839198782973533,76.1162227295063,948.9072265625,0.0,0.0,0.0,0.0
A8,4752640,839598080,1679196160,12.703193898778409,0.03480199001486426,1259.5257639528454,818.30126953125,199.9129643314518,0.5438810373669114,80.03482942443048,948.9423828125,0.19429003184197047,66.65582620573028,70.17253700392376,-4.896126752696029
